type,name,description,all_ingredients,main_ingredients,img_link,cost,weight,cuisine
Закуски,Звёздные равиоли,"Равиоли, начинённые смесью сыра и грибов, символизируют маленькие планеты, плавающие в космосе томатного соуса.","Сыр рикотта, шампиньоны, томатный соус, шпинат, мускатный орех, соль, перец","Сыр рикотта, шампиньоны, томатный соус",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%97%D0%B2%D1%91%D0%B7%D0%B4%D0%BD%D1%8B%D0%B5%20%D1%80%D0%B0%D0%B2%D0%B8%D0%BE%D0%BB%D0%B8.jpg,460,290 г,Нейро кухня
Основные блюда,Парящая говядина,"Тончайшие срезы говядины, приготовленные молекулярным способом, подаются с воздушным грибным облаком и капелькой трюфельного масла.","Говядина, белые грибы, сливки, желатин, трюфельное масло, соль, перец","Говядина, белые грибы, трюфельное масло",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%B0%D1%80%D1%8F%D1%89%D0%B0%D1%8F%20%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0.jpg,780,330 г,Нейро кухня
Напитки,Кодовый коктейль,"Напиток, вдохновленный миром программирования, с яркими цветами и слоями, символизирующими различные языки кодирования.","Апельсиновый сок, гранатовый сироп, кокосовое молоко, голубой пищевой краситель, лед","Апельсиновый сок, гранатовый сироп, кокосовое молоко",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%BE%D0%B4%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BA%D1%82%D0%B5%D0%B9%D0%BB%D1%8C.jpg,300,300 мл,Нейро кухня
Супы,Борщ,"Традиционный русский суп с насыщенным вкусом, приготовленный из свеклы, капусты, картофеля и мяса.","Свекла, капуста, картофель, морковь, лук, томатная паста, говядина, чеснок, лавровый лист, соль, перец, сметана","Свекла, капуста, картофель, говядина",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%91%D0%BE%D1%80%D1%89.jpg,250,250 г,Русская кухня
Супы,Щи,Традиционные русские щи — густой суп на основе квашеной капусты с насыщенным вкусом и ароматом русского духа.,"Квашеная капуста, картофель, морковь, лук, томатная паста, мясо говядина, чеснок, лавровый лист, соль, перец, сметана","Квашеная капуста, картофель, морковь, говядина",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A9%D0%B8.jpg,260,250 г,Русская кухня
Основные блюда,Пельмени,"Традиционное русское блюдо — небольшие изделия из теста с мясной начинкой, подаваемые с маслом, сметаной или уксусом.","Мука, яйцо, вода, говядина, лук, соль, перец, масло, сметана","Мука, говядина, сметана",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%BD%D0%B8.jpg,390,310 г,Русская кухня
Основные блюда,Ленивые голубцы,"Упрощённая версия классических голубцов — мясная начинка с капустой, смешанные вместе и запечённые в виде котлет.","Говядина, капуста, рис, лук, морковь, томатная паста, яйцо, мука, соль, перец, растительное масло","Говядина, капуста, рис",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9B%D0%B5%D0%BD%D0%B8%D0%B2%D1%8B%D0%B5%20%D0%B3%D0%BE%D0%BB%D1%83%D0%B1%D1%86%D1%8B.jpg,470,380 г,Русская кухня
Основные блюда,Гречка с грибами,"Простое и сытное блюдо русской кухни — гречневая крупа, приготовленная с обжаренными грибами и луком.","Гречневая крупа, шампионьоны, лук, растительное масло, соль, перец","Гречневая крупа, грибы, лук",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%93%D1%80%D0%B5%D1%87%D0%BA%D0%B0%20%D1%81%20%D0%B3%D1%80%D0%B8%D0%B1%D0%B0%D0%BC%D0%B8.jpg,420,320 г,Русская кухня
Супы,Окрошка,Освежающий холодный суп на основе кваса или кефира с мелко нарезанными овощами и мясом.,"Квас или кефир, отварное мясо (говядина или курица), картофель, огурцы, редис, зелёный лук, укроп, яйца, горчица, хрен, соль, перец","Квас или кефир, мясо, картофель, огурцы, яйца, редис",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D0%BA%D1%80%D0%BE%D1%88%D0%BA%D0%B0.jpg,285,380 г,Русская кухня
Закуски,Чак-чак,"Традиционная татарская сладость, состоящая из обжаренных кусочков теста, склеенных медом.","Мука, яйца, мед, сахар, растительное масло, соль","Мука, яйца, мед",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A7%D0%B0%D0%BA-%D1%87%D0%B0%D0%BA.jpg,190,160 г,Русская кухня
Основные блюда,Жаркое по-домашнему,"Тушёное мясо с картофелем и овощами, приготовленное на медленном огне, с насыщенным вкусом и ароматом.","Говядина, картофель, морковь, лук, растительное масло, соль, перец, лавровый лист, чеснок","Говядина, картофель, морковь, лук",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%96%D0%B0%D1%80%D0%BA%D0%BE%D0%B5%20%D0%BF%D0%BE-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%B5%D0%BC%D1%83.jpg,520,360 г,Русская кухня
Салаты,Оливье,"Классический новогодний салат с колбасой, картофелем, яйцами, огурцами и майонезом.","Колбаса варёная, картофель, яйца, огурцы свежие и маринованные, горошек консервированный, морковь, майонез, соль, перец","Колбаса, картофель, яйца, огурцы, горошек, майонез",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D0%BB%D0%B8%D0%B2%D1%8C%D0%B5.jpg,320,255 г,Русская кухня
Салаты,Селёдка под шубой,"Слоёный салат с сельдью, свёклой, картофелем, морковью и майонезом, популярный на праздничных столах.","Сельдь, свёкла, картофель, морковь, репчатый лук, майонез, яйца, соль, перец","Сельдь, свёкла, картофель, морковь, майонез",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B5%D0%BB%D1%91%D0%B4%D0%BA%D0%B0%20%D0%BF%D0%BE%D0%B4%20%D1%88%D1%83%D0%B1%D0%BE%D0%B9.jpg,370,285 г,Русская кухня
Салаты,Винегрет,"Традиционный русский салат из варёной свёклы, картофеля, моркови, солёных огурцов и квашеной капусты, заправленный растительным маслом.","Свёкла, картофель, морковь, солёные огурцы, квашеная капуста, репчатый лук, растительное масло, соль, перец","Свёкла, картофель, солёные огурцы, квашеная капуста",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%92%D0%B8%D0%BD%D0%B5%D0%B3%D1%80%D0%B5%D1%82.jpg,180,210 г,Русская кухня
Салаты,Мимоза,"Салат с консервированной рыбой, яйцами, картофелем, морковью и майонезом, получивший своё название за внешний вид, напоминающий весенние цветы мимозы.","Консервированная рыба, яйца, картофель, морковь, репчатый лук, майонез, соль, перец","Консервированная рыба, яйца, картофель, морковь, майонез",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B8%D0%BC%D0%BE%D0%B7%D0%B0.jpg,270,250 г,Русская кухня
Закуски,Блины с икрой,"Традиционная русская закуска — тонкие блины, свернутые с красной икрой внутри.","Мука, молоко, яйца, растительное масло, красная икра, соль, сахар","Мука, молоко, яйца, икра",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%91%D0%BB%D0%B8%D0%BD%D1%8B%20%D1%81%20%D0%B8%D0%BA%D1%80%D0%BE%D0%B9.jpg,220,230 г,Русская кухня
Напитки,Квас,"Традиционный славянский напиток, приготовленный путём брожения ржаного хлеба или муки с добавлением сахара и дрожжей.","Ржаная мука, сахар, дрожжи, вода, изюм","Ржаная мука, дрожжи, вода",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B2%D0%B0%D1%81.jpg,170,300 мл,Русская кухня
Напитки,Черничный морс,"Освежающий напиток, приготовленный из черники, воды и сахара, с насыщенным вкусом и ярким цветом.","Черника, вода, сахар","Черника, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A7%D0%B5%D1%80%D0%BD%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BC%D0%BE%D1%80%D1%81.jpg,150,300 мл,Русская кухня
Напитки,Клюквенный морс,"Освежающий напиток, приготовленный из клюквы, воды и сахара, с характерной кислинкой и ярким красным оттенком.","Клюква, вода, сахар","Клюква, вода, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%BB%D1%8E%D0%BA%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%BC%D0%BE%D1%80%D1%81.jpg,150,300 мл,Русская кухня
Напитки,Облепиховый морс,"Витаминный напиток, приготовленный из облепихи, воды и сахара, с приятным кисло-сладким вкусом и ярко-оранжевым цветом.","Облепиха, вода, сахар","Облепиха, вода, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D0%B1%D0%BB%D0%B5%D0%BF%D0%B8%D1%85%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%BC%D0%BE%D1%80%D1%81.jpg,170,300 мл,Русская кухня
Напитки,Берёзовый сок,"Натуральный сок, добываемый из березы весной, с легким сладковатым вкусом и массой полезных веществ.",Березовый сок,Березовый сок,https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9%20%D1%81%D0%BE%D0%BA.jpg,120,150 мл,Русская кухня
Основные блюда,Русский бургер,"Настоящий русский бургер, вдохновленный традиционными рецептами русской кухни. Сочная говяжья котлета, ароматная квашеная капуста, соленый огурец и нежный сыр между золотистыми булочками, смазанными домашним майонезом.","Говяжья котлета, булочка, квашеная капуста, соленые огурцы, сыр, домашний майонез, кетчуп, горчица, лук","Говяжья котлета, квашеная капуста, соленые огурцы, сыр, домашний майонез",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B1%D1%83%D1%80%D0%B3%D0%B5%D1%80.jpg,450,350 г,Русская кухня
Закуски,Сало с чесноком и зеленью,"Традиционная русская закуска — тонко нарезанное сало, приправленное измельчённым чесноком и свежей зеленью.","Сало, чеснок, укроп, петрушка, соль, чёрный молотый перец","Сало, чеснок, зелень",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B0%D0%BB%D0%BE%20%D1%81%20%D1%87%D0%B5%D1%81%D0%BD%D0%BE%D0%BA%D0%BE%D0%BC%20%D0%B8%20%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D1%8C%D1%8E.jpg,210,190 г,Русская кухня
Закуски,Маринованные грибы,"Традиционная русская закуска — маринованные лесные грибы, особенно популярны опята и лисички. Подаются с луком и растительным маслом.","Грибы, уксус, сахар, соль, лавровый лист, черный перец горошком, растительное масло, лук","Грибы, уксус, растительное масло, лук",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B0%D1%80%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%D0%B3%D1%80%D0%B8%D0%B1%D1%8B.jpg,280,320 г,Русская кухня
Десерты,Шарлотка,"Легкий и воздушный яблочный пирог, приготовленный из яиц, сахара и муки.","Яблоки, яйца, сахар, мука, ванильный сахар, разрыхлитель","Яблоки, яйца, сахар, мука",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A8%D0%B0%D1%80%D0%BB%D0%BE%D1%82%D0%BA%D0%B0.jpg,220,200 г,Русская кухня
Десерты,Медовик,"Многослойный торт с тонким медовым тестом, прослоенный кремом, с нежной структурой и приятным медовым вкусом.","Мука, мед, яйца, сахар, сливочное масло, сметана, ванилин, разрыхлитель","Мука, мед, яйца, сметана",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D0%BA.jpg,230,210 г,Русская кухня
Основные блюда,Пулькоги,"Маринованная говядина, приготовленная на гриле, с насыщенным сладковато-пряным вкусом и сочностью. Это одно из самых известных блюд корейской кухни, которое обязательно стоит попробовать!","Мраморная говядина, соевый соус, сахар, чеснок, зеленый лук, имбирь, кунжутное масло, черный перец","Мраморная говядина, соевый соус, сахар, чеснок",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D1%83%D0%BB%D1%8C%D0%BA%D0%BE%D0%B3%D0%B8.jpg,750,400 г,Корейская кухня
Основные блюда,Кимчи,"Ферментация овощей, наиболее популярные варианты включают кимчи из пекинской капусты и редиса. Кимчи — это незаменимый элемент любой корейской обеденной таблицы.","Капуста пекинская, редис, перец красный, чеснок, имбирь, рыбный соус, сахар, соль","Капуста пекинская, редис, перец красный, чеснок",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B8%D0%BC%D1%87%D0%B8.jpg,330,220 г,Корейская кухня
Основные блюда,Калби,"Корейские ребрышки, маринованные в соевом соусе и жаренные на гриле. Калби славится своим насыщенным вкусом и мягкостью.","Говяжьи ребра, соевый соус, сахар, чеснок, зеленый лук, имбирь, кунжутное масло, черный перец","Говяжьи ребра, соевый соус, сахар, чеснок",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B0%D0%BB%D0%B1%D0%B8.jpg,680,370 г,Корейская кухня
Основные блюда,Бибимбап,"Цветастое и ароматное блюдо, состоящее из риса, овощей, мяса и острого соуса. Все ингредиенты смешиваются перед подачей, создавая уникальный вкус и текстуру.","Рис, шпинат, морковь, ростки фасоли, грибы, говядина, яйцо, кунжутное масло, острый соус (гочуян)","Рис, овощи, мясо, острый соус",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%91%D0%B8%D0%B1%D0%B8%D0%BC%D0%B1%D0%B0%D0%BF.jpg,450,300 г,Корейская кухня
Супы,Самгетан,"Целебный куриный суп с женьшенем, который укрепляет здоровье и дарит энергию. Фаршированная курица, рис и ароматные травы делают его особенно вкусным и полезным.","Курица, женьшень, рис, чеснок, зеленый лук, имбирь, соль, черный перец","Курица, женьшень, рис",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B0%D0%BC%D0%B3%D0%B5%D1%82%D0%B0%D0%BD.jpg,280,250 г,Корейская кухня
Супы,Мандугук,"Теплый и уютный суп с клецками, говядиной и овощами. Мандугук согревает душу и тело, особенно в холодные дни.","Говядина, тесто для клецек, зеленый лук, морковь, нори, соевый соус, чеснок, черный перец","Говядина, тесто для клецек, зеленый лук",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B0%D0%BD%D0%B4%D1%83%D0%B3%D1%83%D0%BA.jpg,330,270 г,Корейская кухня
Супы,Дунджиган,"Насыщенный и пикантный суп из ферментированных соевых бобов, который согревает и заряжает энергией. Идеально подходит для холодного времени года.","Ферментированные соевые бобы, вода, анчоусы, водоросли комбу, зеленый лук, чеснок, черный перец, соевый соус","Ферментированные соевые бобы, анчоусы, зеленый лук",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%94%D1%83%D0%BD%D0%B4%D0%B6%D0%B8%D0%B3%D0%B0%D0%BD.jpg,310,260 г,Корейская кухня
Закуски,Одэн,"Вкусная и питательная закуска, состоящая из рыбных котлет, тофу и других ингредиентов, приготовленных в ароматном бульоне. Одэн — идеальный выбор для легкого перекуса или дополнения к основному блюду.","Рыбные котлеты, тофу, дайкон, морковь, зеленый лук, рыбный бульон, соевый соус, сахар, чеснок","Рыбные котлеты, тофу, дайкон",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D0%B4%D1%8D%D0%BD.jpg,215,200 г,Корейская кухня
Закуски,Конбуки,"Ароматное и полезное блюдо из морской капусты и овощей, сваренных в густом соусе. Конбуки станет отличным дополнением к любому столу и порадует вас своим насыщенным вкусом.","Морская капуста, редька, морковь, зеленый лук, соевый соус, сахар, чеснок, кунжутное масло, черный перец","Морская капуста, редька, морковь",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%BE%D0%BD%D0%B1%D1%83%D0%BA%D0%B8.jpg,300,200 г,Корейская кухня
Закуски,Манджу,"Маленькие корейские пирожки с разнообразными начинками, приготовленные на пару или жареные. Манджу порадуют вас своей мягкой текстурой и насыщенным вкусом.","Тесто, свинина, креветки, капуста, зеленый лук, соевый соус, сахар, чеснок, кунжутное масло, черный перец","Тесто, свинина, креветки, капуста",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B0%D0%BD%D0%B4%D0%B6%D1%83.jpg,400,295 г,Корейская кухня
Салаты,Морковь Ча,"Острый и хрустящий салат из моркови, маринованной в корейском стиле. Морковь Ча станет ярким акцентом на любом столе и подарит вам незабываемые вкусовые ощущения.","Морковь, уксус, сахар, чеснок, красный перец, кунжутное масло, соль, черный перец","Морковь, уксус, чеснок, красный перец",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%BE%D1%80%D0%BA%D0%BE%D0%B2%D1%8C%20%D0%A7%D0%B0.jpg,220,210 г,Корейская кухня
Салаты,Капуста Ча,"Ароматный и свежий салат из пекинской капусты, маринованный в корейском стиле. Капуста Ча добавит яркости и свежести любому блюду.","Пекинская капуста, уксус, сахар, чеснок, красный перец, кунжутное масло, соль, черный перец","Пекинская капуста, уксус, чеснок, красный перец",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%B0%20%D0%A7%D0%B0.jpg,190,205 г,Корейская кухня
Салаты,Огурцы Намул,"Хрустящие и освежающие маринованные огурцы, приправленные специями и кунжутным маслом. Огурцы Намул станут прекрасным дополнением к любым блюдам.","Огурцы, уксус, сахар, чеснок, красный перец, кунжутное масло, соль, черный перец","Огурцы, уксус, чеснок, красный перец",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D0%B3%D1%83%D1%80%D1%86%D1%8B%20%D0%9D%D0%B0%D0%BC%D1%83%D0%BB.jpg,180,150 г,Корейская кухня
Напитки,Сикхе,Освежающий и сладковатый напиток из ферментированного риса. Сикхе обладает мягким вкусом и идеально подходит для утоления жажды.,"Рис, вода, сахар, дрожжи","Рис, вода, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B8%D0%BA%D1%85%D0%B5.jpg,160,300 мл,Корейская кухня
Напитки,Омиджачу,"Освежающий фруктовый напиток, приготовленный из пяти видов фруктов, включая омиджи. Омиджачу обладает ярким вкусом и идеально подходит для утоления жажды.","Плоды омиджи, лимон, апельсин, груша, виноград, сахар, вода","Плоды омиджи, лимон, апельсин, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D0%BC%D0%B8%D0%B4%D0%B6%D0%B0%D1%87%D1%83.jpg,250,300 мл,Корейская кухня
Напитки,Юджа,"Освежающий цитрусовый напиток, приготовленный из юзы, меда и сахара. Юджа обладает ярким вкусом и идеально подходит для утоления жажды.","Юза, мед, сахар, вода","Юза, мед, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%AE%D0%B4%D0%B6%D0%B0.jpg,240,300 мл,Корейская кухня
Напитки,Суннюн,"Освежающий напиток из пророщенной пшеницы и сахара, с легким сладковатым вкусом.","Пророщенная пшеница, сахар, вода","Пророщенная пшеница, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D1%83%D0%BD%D0%BD%D1%8E%D0%BD.jpg,190,300 мл,Корейская кухня
Напитки,Инсамчу,"Тонизирующий напиток из корня женьшеня, завариваемый горячей водой, с легкой горчинкой.","Корень женьшеня, вода",Корень женьшеня,https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%98%D0%BD%D1%81%D0%B0%D0%BC%D1%87%D1%83.jpg,250,300 мл,Корейская кухня
Напитки,Сонхвача,"Травяной чай из цветков пиона, с мягким цветочным ароматом и нежным вкусом.","Цветки пиона, вода",Цветки пиона,https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%BE%D0%BD%D1%85%D0%B2%D0%B0%D1%87%D0%B0.jpg,210,250 мл,Корейская кухня
Десерты,Хотток,"Традиционные корейские блинчики с начинкой из сахара, меда и орехов.","Мука, вода, сахар, мед, орехи, семена кунжута, растительное масло","Мука, сахар, мед, орехи",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A5%D0%BE%D1%82%D1%82%D0%BE%D0%BA.jpg,230,220 г,Корейская кухня
Десерты,Яква,"Сладкая корейская выпечка, приготовленная из рисовой муки и меда, с орехами и семенами.","Рисовая мука, мед, сахар, орехи, семена кунжута, растительное масло","Рисовая мука, мед, орехи",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%AF%D0%BA%D0%B2%D0%B0.jpg,210,150 г,Корейская кухня
Десерты,Патбинсу,"Корейское мороженое из красных бобов, молока и ледяного порошка, подаваемое с фруктами и сиропом.","Красные бобы, молоко, ледяной порошок, фрукты, сироп","Красные бобы, молоко, ледяной порошок",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%B0%D1%82%D0%B1%D0%B8%D0%BD%D1%81%D1%83.jpg,300,200 г,Корейская кухня
Десерты,Югва,"Корейское печенье, приготовленное из рисовой муки и меда, с орехами и специями.","Рисовая мука, мед, орехи, специи, растительное масло","Рисовая мука, мед, орехи",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%AE%D0%B3%D0%B2%D0%B0.jpg,280,240 г,Корейская кухня
Основные блюда,Спагетти Карбонара,"Классические итальянские спагетти с нежным соусом из яиц, сыра пармезан, панчетты и черного перца.","Спагетти, яйца, сыр пармезан, панчетта, черный перец, оливковое масло","Спагетти, яйца, сыр пармезан, панчетта",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%BF%D0%B0%D0%B3%D0%B5%D1%82%D1%82%D0%B8%20%D0%9A%D0%B0%D1%80%D0%B1%D0%BE%D0%BD%D0%B0%D1%80%D0%B0.jpg,370,300 г,Итальянская кухня
Основные блюда,Лазанья Болоньезе,"Многослойное блюдо из пасты, соуса болоньезе, бешамеля и сыра моцарелла, запечённое до золотистой корочки.","Листы лазаньи, говяжий фарш, помидоры, лук, чеснок, молоко, масло сливочное, мука, сыр моцарелла, пармезан, базилик","Говяжий фарш, соус бешамель, сыр моцарелла",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9B%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C%D1%8F%20%D0%91%D0%BE%D0%BB%D0%BE%D0%BD%D1%8C%D0%B5%D0%B7%D0%B5.jpg,310,280 г,Итальянская кухня
